id,time,likes,comments,reposts,views,text,ctr,url,year,month,day,tags
203018,1546705388,185,2,12,33107,"С 1 января произведения, которые вышли в свет в США в 1923 году и раньше, стали достоянием общественности.

https://knife.media/best-books-public-domain/",0.56,https://knife.media/best-books-public-domain/,2019,2019-01,2019-01-05,"['книги', 'литература']"
202956,1546701600,369,81,27,48210,"В чем секрет женских множественных оргазмов и преждевременная эякуляция — это через сколько? 

https://knife.media/bodies-talk/",0.77,https://knife.media/bodies-talk/,2019,2019-01,2019-01-05,"['литература', 'мужчины', 'секс']"
202924,1546694400,1217,33,78,100859,"Исключительно дельные советы для тех, кто живет вместе с любимым человеком или собирается перейти к этой стадии отношений.

https://knife.media/home-together",1.21,https://knife.media/home-together,2019,2019-01,2019-01-05,"['отношения', 'поведение', 'привычки']"
202896,1546687200,564,22,62,41718,"Это не шутка: вся музыка произошла из Африки. Статья Виктории Мирошниченко расширяет кругозор в континентальном масштабе.

https://knife.media/african-music/",1.35,https://knife.media/african-music/,2019,2019-01,2019-01-05,"['музыка', 'мир']"
202861,1546683600,107,1,9,27312,"Как живут в Сибири. От музыки кочевников до выставки современного искусства в огороде при -38. 

https://knife.media/siberian-context/",0.39,https://knife.media/siberian-context/,2019,2019-01,2019-01-05,"['находка', 'россия', 'сайт']"
202814,1546680000,258,101,7,31834,"В дороге девушки планируют брать интервью у однополых пар и рассказывать, как обстоят дела с правами секс-меньшинств в разных регионах. 

https://knife.media/japanese-couple/",0.81,https://knife.media/japanese-couple/,2019,2019-01,2019-01-05,"['мир', 'женщины', 'истории', 'ЛГБТ', 'общество']"
202797,1546676400,82,7,6,25846,"Чтобы узнать о положительных последствиях чумы, ученые искали скелеты по всей Европе. 

https://knife.media/justinian-plague/",0.32,https://knife.media/justinian-plague/,2019,2019-01,2019-01-05,"['история', 'здоровье', 'исследование']"
202777,1546672800,805,43,68,52904,"Не ищите, что посмотреть в каникулы. «Нож» уже все нашел за вас.

https://knife.media/25-horror-films/",1.52,https://knife.media/25-horror-films/,2019,2019-01,2019-01-05,"['кино', 'находка']"
202763,1546669200,153,10,4,26194,"Студенты из Уэльса избежали тюрьмы за торговлю наркотиками — благодаря безупречному английскому. 

https://knife.media/grammar-dealers/",0.58,https://knife.media/grammar-dealers/,2019,2019-01,2019-01-05,"['наркотики', 'великобритания', 'истории', 'криминал']"
202681,1546632300,107,29,3,30331,"Вспомните, как часто вас вызывали в школе к доске. 

https://knife.media/alphabetism/",0.35,https://knife.media/alphabetism/,2019,2019-01,2019-01-04,"['исследование', 'общество', 'психология']"
202674,1546628640,128,19,5,29949,"Ученые подошли к литературе с математической дотошностью. Они изучили стиль свыше 650 авторов, сосчитав знаки препинания в их текстах. 
 
https://knife.media/authors-punctuation/",0.43,https://knife.media/authors-punctuation/,2019,2019-01,2019-01-04,"['исследование', 'литература', 'математика']"
202661,1546624981,408,26,20,43719,"Психологи составили карту телесных эмоциональных ощущений людей с шизофренией, а затем сравнили ее с картой здоровых людей. 

https://knife.media/maps-of-emotions-in-schizophrenia/",0.93,https://knife.media/maps-of-emotions-in-schizophrenia/,2019,2019-01,2019-01-04,"['исследование', 'здоровье', 'психология']"
202617,1546621321,704,32,54,48903,"Психолог Александр Невеев — о том, существует ли на самом деле газлайтинг, почему мы постоянно разрушаем отношения и можем ли мы слепо доверять своему разуму.

https://knife.media/enemy-inside/",1.44,https://knife.media/enemy-inside/,2019,2019-01,2019-01-04,"['мозг', 'отношения', 'психология']"
202580,1546614185,1021,15,98,56548,"Усиливают ли популярные психоактивные вещества наши творческие и мыслительные способности или, наоборот, делают нас тупыми и скучными? Разбираемся, что об этом говорят результаты научных исследований. 

https://knife.media/chemistry-of-creativity/",1.81,https://knife.media/chemistry-of-creativity/,2019,2019-01,2019-01-04,"['наука', 'мозг', 'наркотики']"
202553,1546605770,313,5,25,33671,"20 фильмов, благодаря которым так привлекательны Лос-Анджелес, Копенгаген или Токио.

https://knife.media/film-cities/",0.93,https://knife.media/film-cities/,2019,2019-01,2019-01-04,"['видео', 'города', 'кино']"
202543,1546603381,686,27,39,42314,"Что такое гибристофилия, почему плохие парни кажутся девушкам классными и в чем эволюционный смысл продолжения рода бандитов и убийц?

https://knife.media/hybristophilia/",1.62,https://knife.media/hybristophilia/,2019,2019-01,2019-01-04,"['психология', 'любовь', 'поведение']"
202521,1546599446,239,36,21,29703,"Генетики придумали технологию, которая может привести к исчезновению целых видов. Теперь ученые борются за то, чтобы она не попала в руки злодеев.

https://knife.media/gene-drive/",0.8,https://knife.media/gene-drive/,2019,2019-01,2019-01-04,"['будущее', 'биология', 'наука', 'технологии']"
202515,1546595800,167,12,10,27275,"Эксперты назвали пять главных секс-трендов наступившего года, среди них — селф-дейтинг и полиамория. 
 
https://knife.media/sex-trends/",0.61,https://knife.media/sex-trends/,2019,2019-01,2019-01-04,"['секс', 'тренд']"
202504,1546590000,274,0,20,33289,"Будет трудно не промахнуться — с ситуацией вроде «на языке вертится» сталкивались все, а вот что такое «эффект чирлидера», «проклятие знания» или «цифровая амнезия»? 

https://knife.media/bias-quiz/",0.82,https://knife.media/bias-quiz/,2019,2019-01,2019-01-04,"['мозг', 'находка', 'психология', 'тесты']"
202488,1546586400,1006,18,74,49286,"Что посмотреть — советует Американская гильдия писателей и сценаристов. Кстати, в списке не только комедии.

https://knife.media/the-funniest-films/",2.04,https://knife.media/the-funniest-films/,2019,2019-01,2019-01-04,"['кино', 'находка']"
202480,1546580400,75,2,2,23335,"Съемки фильма о жизни Льва Ландау стартовали еще в 2007 году. 

https://knife.media/dau-film/",0.32,https://knife.media/dau-film/,2019,2019-01,2019-01-04,"['кино', 'мир', 'россия']"
202472,1546575600,81,4,4,22506,"До финального поклона многие зрители не догадываются, что музыкант незрячий. «Люди должны его видеть», — говорит худрук Калининградского симфонического оркестра. 

https://knife.media/the-pianist/",0.36,https://knife.media/the-pianist/,2019,2019-01,2019-01-04,"['добро', 'истории', 'люди', 'музыка']"
202406,1546546560,139,17,4,31427,"А ты жуй, жуй свой орбит без сахара. 
 
https://knife.media/sugar-substitutes/",0.44,https://knife.media/sugar-substitutes/,2019,2019-01,2019-01-03,"['исследование', 'еда', 'здоровье']"
202373,1546543200,820,15,98,65233,"Создатель лайка, венчурный капиталист, изобретатель пуша и другие представители цифровой элиты отказываются от соцсетей и выдают своим детям интернет по чайной ложке. Что такого они знают, чего не знаем мы?

https://knf.md/addiction-like",1.26,https://knf.md/addiction-like,2019,2019-01,2019-01-03,"['поведение', 'привычки', 'соцсети', 'технологии']"
202290,1546536000,431,117,25,50335,"В Китае растет миллионная армия 30–40-летних мужчин-«пустоцветов», которые никогда не женятся и не заведут детей. Женщин не хватает, при этом эмансипированные девушки-«объедки» — одиноки.

https://knife.media/chinese-virgins/",0.86,https://knife.media/chinese-virgins/,2019,2019-01,2019-01-03,"['отношения', 'китай', 'любовь', 'привычки']"
202279,1546533791,102,2,1,26558,"Специалисты считают, что таких находок может быть гораздо больше.

https://knife.media/secret-drawings/",0.38,https://knife.media/secret-drawings/,2019,2019-01,2019-01-03,"['искусство', 'мир']"
202257,1546527814,121,3,2,27719,"Луноход «Чанъэ-4» впервые в истории человечества совершил мягкую посадку на обратной стороне Луны и прислал снимок оттуда. 
 
https://knife.media/dark-side/",0.44,https://knife.media/dark-side/,2019,2019-01,2019-01-03,"['космос', 'китай']"
202239,1546525200,940,41,103,49605,"Не надоело еще отдыхать? Вот вам список великих фильмов, которым можно посвятить каникулы.

https://knife.media/greatest-foreign-films/",1.89,https://knife.media/greatest-foreign-films/,2019,2019-01,2019-01-03,"['рейтинг', 'кино', 'мир', 'находка']"
202227,1546518000,1921,43,175,246526,"Радость от мороженого длится пару мгновений, от счастливого брака — пару лет. Зачем нам иммунитет от удовольствия и как его «взломать»?

https://knife.media/hedonic-adaptation/",0.78,https://knife.media/hedonic-adaptation/,2019,2019-01,2019-01-03,"['мозг', 'наука', 'саморазвитие']"
202219,1546514401,128,2,6,29184,"Думали, культы животных встречаются только в племенных культурах далеких островов? Нет: в Кыргызстане змей почитают как ангелов и хоронят по мусульманским обычаям.

https://knife.media/snake-gods/",0.44,https://knife.media/snake-gods/,2019,2019-01,2019-01-03,"['религия', 'культура']"
202201,1546510868,229,7,9,30790,"В Англии ежегодно проходит фестиваль стимпанка: как выглядит «будущее XIX века — в фоторепортаже Оли Скарфа.

https://knife.media/oli-scarff/",0.74,https://knife.media/oli-scarff/,2019,2019-01,2019-01-03,"['фотография', 'будущее', 'литература', 'мир']"
202143,1546458420,1019,22,61,86983,"Узнайте, во сколько вам лучше лечь спать, чтобы проснуться бодрым и здоровым.

https://knife.media/sleeping-calculator/",1.17,https://knife.media/sleeping-calculator/,2019,2019-01,2019-01-02,"['находка', 'сон']"
202053,1546429674,1857,36,126,116431,"Чем опасны романтические стереотипы и как не испортить свою жизнь, связавшись узами с неправильным человеком.

https://knife.media/eternal-love/",1.59,https://knife.media/eternal-love/,2019,2019-01,2019-01-02,"['женщины', 'любовь', 'мужчины', 'отношения']"
202043,1546425848,520,24,39,56073,"Что общего между любителем порно и влюбленным в бутылку пива жучком? Пожар в системе поощрения.

https://knife.media/porn-transformation/",0.93,https://knife.media/porn-transformation/,2019,2019-01,2019-01-02,"['порно', 'изобретения', 'мозг', 'наука']"
202024,1546419660,325,1,24,48631,"Дарите друг другу подарки: это помогает изменить социальный статус, заключить договор, реализовать власть — ну и просто приятно.

https://knife.media/story-of-gifts",0.67,https://knife.media/story-of-gifts,2019,2019-01,2019-01-02,"['история', 'мир', 'отношения']"
201823,1546358460,1736,68,155,151425,"По какому принципу люди выбирают вещества, почему не работает антинаркотическая пропаганда и как Исландия в 8 раз снизила число юных пьяниц.

http://knf.md/iceland-youth",1.15,http://knf.md/iceland-youth,2019,2019-01,2019-01-01,"['алкоголь', 'здоровье', 'наркотики']"
201763,1546351260,296,27,18,49016,"Гей-лобби на «Ноже» снова дотянулось своей ухоженной рукой до повестки дня. Читаем о сюрреалистическом гомотрипе, шалостях с афонскими монахами и любви, познаваемой в пытках.

https://knife.media/queer-classics/",0.6,https://knife.media/queer-classics/,2019,2019-01,2019-01-01,"['литература', 'ЛГБТ', 'любовь', 'люди', 'секс']"
201685,1546340460,1296,34,102,92999,"Психологи сходятся во мнении, что намеренное ограничение своих желаний не является ключом к успеху в жизни. Причины успеха иные (и они в конце статьи).

https://knife.media/willpower-overrated/",1.39,https://knife.media/willpower-overrated/,2019,2019-01,2019-01-01,['психология']
201575,1546282860,1118,32,106,82600,"Что такое эвдемоническое счастье, что отличает счастливых людей от несчастных и зачем в международных корпорациях chief happiness officer.

https://knife.media/happiness-vs-hedonism/",1.35,https://knife.media/happiness-vs-hedonism/,2018,2018-12,2018-12-31,"['мозг', 'наука']"
201531,1546268460,516,256,33,66423,"Пытаясь остановить сексуальное рабство (в собственном понимании этого термина), активисты ухудшают условия работы женщин, фальсифицируют трагедии, а главное — лишают нас выбора.

https://knife.media/sexual-slavery/",0.78,https://knife.media/sexual-slavery/,2018,2018-12,2018-12-31,"['феминизм', 'женщины', 'законы', 'мир', 'протест', 'секс']"
201510,1546261260,154,18,11,29611,"Разбираемся с корейской волной, захватившей мир: почему халлю — это не только медиамашина нового поколения, но и зеркало даосского “авось”, и как сагык влияет на чеболи.

https://knife.media/korean-wave/",0.52,https://knife.media/korean-wave/,2018,2018-12,2018-12-31,"['культура', 'искусство', 'мир']"
201457,1546246860,516,78,26,51541,"Гоголь был одинок и странен? Он был квир, как и многие другие великие писатели и поэты. Это серьезное литературное исследование — приготовьте пенсне!

https://knife.media/queer-literature/",1.0,https://knife.media/queer-literature/,2018,2018-12,2018-12-31,"['литература', 'гендер', 'ЛГБТ']"
201448,1546245360,526,33,49,55231,"Коля Сулима — о советских — иногда бессмысленных — традициях, которые неизменно создают новогоднее настроение.

https://knife.media/happynewyear/",0.95,https://knife.media/happynewyear/,2018,2018-12,2018-12-31,"['общество', 'события', 'СССР']"
201397,1546179030,388,24,10,56936,"Проверьте, насколько вы невыносимы в культурных спорах.

https://knife.media/snob-test/",0.68,https://knife.media/snob-test/,2018,2018-12,2018-12-30,"['культура', 'находка', 'поведение', 'тесты']"
201372,1546169866,362,18,8,48226,"Канадец открывает Россию: пьет чай вместо воды, празднует День огурца и исследует знаменитые панельки Владивостока.

https://knife.media/canadian-interview/",0.75,https://knife.media/canadian-interview/,2018,2018-12,2018-12-30,"['путешествия', 'интервью', 'люди', 'россия']"
201329,1546165351,346,53,25,50969,"Продюсер аллегровых и киркоровых о том, почему слушать попсу — это путь в никуда.

https://knife.media/kobyliansky-interview/",0.68,https://knife.media/kobyliansky-interview/,2018,2018-12,2018-12-30,"['интервью', 'бизнес', 'музыка', 'россия']"
201245,1546103927,222,30,12,39406,"В 2018 году ветераны постсоветской поп-сцены разогнали костылем молодняк, но желторотые ответили достойно. Соседи снизу, простите, танцы будут до утра.

https://knife.media/pop-top-2018/",0.56,https://knife.media/pop-top-2018/,2018,2018-12,2018-12-29,"['музыка', 'всякая годная попса', 'россия']"
201231,1546098936,115,1,10,28457,"Новый увлекательный литературный проект! Среди героев — Борис Поплавский, Гайто Газданов, Борис Вильде и другие авторы, о которых вы могли не знать. 

https://knife.media/writers-generation/",0.4,https://knife.media/writers-generation/,2018,2018-12,2018-12-29,"['литература', 'история', 'находка', 'россия', 'сайт']"
